id,uri,uuid,version,status,title,statement,kind,domain,level_band,example_item,example_expected,example_response,n_evidence_patterns,n_sources,first_source,review_date,license
prog.obj.equality-compares-contents,https://oml.learnco.io/m/prog.obj.equality-compares-contents,23722159-9645-4246-a122-1d6ea3fd6ddf,0.1.0,draft,== compares the contents of objects,"Comparing two object variables with == compares what is inside the objects, so two objects with the same field values are equal.",overgeneralization,prog.objects,secondary;undergraduate,"String a = new String(""hi"");
String b = new String(""hi"");
System.out.println(a == b);",false,true,1,2,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.obj.variables-hold-objects,https://oml.learnco.io/m/prog.obj.variables-hold-objects,d4a1fd15-44b9-4752-b086-b9a07a1e7ae7,0.1.0,draft,A variable contains the whole object,"An object variable contains the object itself, not a reference to it, so every variable is its own object and passing it around passes the object.",misapplied-analogy,prog.objects,secondary;undergraduate,"p = Point(1, 2)
q = p
Draw p and q.","Two variables, both pointing to one Point object","Two boxes, each containing a Point(1, 2)",2,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.string.plus-adds-before-concatenating,https://oml.learnco.io/m/prog.string.plus-adds-before-concatenating,71cc8015-8e64-4cbf-aec0-1227ef5023f9,0.1.0,draft,Plus adds numbers before it concatenates,"In an expression that mixes strings and numbers with +, the numbers are added together first and the string is attached afterwards.",overgeneralization,prog.strings,secondary;undergraduate,"System.out.println(""x"" + 1 + 2);",x12,x3,1,1,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.type.integer-division-gives-fraction,https://oml.learnco.io/m/prog.type.integer-division-gives-fraction,f884573f-e177-4865-9cbb-e334397e406a,0.1.0,draft,Dividing two integers gives a fraction,"Dividing one whole number by another gives the exact mathematical result with a fractional part, whatever the types involved.",overgeneralization,prog.types,secondary;undergraduate,"int x = 7 / 2;
System.out.println(x);",3,3.5,2,2,"Qian, Y., & Lehman, J. (2017). Students' misconceptions and other difficulties in introductory programming: A literature review. ACM Transactions on Computing Education, 18(1), Article 1.",,CC-BY-4.0
prog.var.assignment-is-equation,https://oml.learnco.io/m/prog.var.assignment-is-equation,1d678f7e-ebf2-49bf-979f-eb433148cc0e,0.1.0,draft,Assignment states an equation,"The equals sign in an assignment states that the two sides are equal, as in algebra, so x = x + 1 is a contradiction and a = b and b = a mean the same thing.",misapplied-analogy,prog.variables,secondary;undergraduate;adult,"x = 5
x = x + 1
What is x?",6,"'Impossible, x can't equal x + 1' (or 5)",2,4,"du Boulay, B. (1986). Some difficulties of learning to program. Journal of Educational Computing Research, 2(1), 57-73.",,CC-BY-4.0
prog.var.assignment-links-variables,https://oml.learnco.io/m/prog.var.assignment-links-variables,3c50552e-a1f7-4d39-b0e5-1e1673032c7b,0.1.0,draft,Assignment links two variables,"After a = b the two variables are connected, so whenever b changes later, a changes too.",misapplied-analogy,prog.variables,secondary;undergraduate;adult,"a = 1
b = a
a = 7
What is b?",1,7,1,3,"Ma, L., Ferguson, J., Roper, M., & Wood, M. (2007). Investigating the viability of mental models held by novice programmers. In Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education (SIGCSE '07), 499-503.",,CC-BY-4.0
prog.var.assignment-moves-value,https://oml.learnco.io/m/prog.var.assignment-moves-value,55c0374e-b4f9-4b70-aef3-8d020d2c99c1,0.1.0,draft,Assignment moves the value out of the source,"Assigning a = b moves the value from b into a, so b is empty or zero afterwards.",misapplied-analogy,prog.variables,secondary;undergraduate;adult,"b = 4
a = b
What is b?",4,0 (or 'nothing'),1,3,"Bayman, P., & Mayer, R. E. (1983). A diagnosis of beginning programmers' misconceptions of BASIC programming statements. Communications of the ACM, 26(9), 677-679.",,CC-BY-4.0
prog.var.names-meaningful-to-machine,https://oml.learnco.io/m/prog.var.names-meaningful-to-machine,b34639bb-e7b4-400a-bd2a-ced15052078b,0.1.0,draft,The computer understands variable names,"The name of a variable tells the computer what it is for, so a variable called total will add things up and one called largest will hold the biggest value.",misapplied-analogy,prog.variables,secondary;undergraduate,"largest = 0
for n in [4, 9, 2]:
    pass
print(largest)",0,9,1,3,"Pea, R. D. (1986). Language-independent conceptual ""bugs"" in novice programming. Journal of Educational Computing Research, 2(1), 25-36.",,CC-BY-4.0
prog.var.uninitialized-is-zero,https://oml.learnco.io/m/prog.var.uninitialized-is-zero,436c64f5-62ac-40c8-86f7-60b05c57c1de,0.1.0,draft,Uninitialised variables start at zero,"A variable that has been declared but never assigned holds zero, or an empty value, so it can be safely read or added to.",overgeneralization,prog.variables,secondary;undergraduate,"int count;
count = count + 1;
System.out.println(count);",Compile error: count might not have been initialized,1,1,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.var.variable-keeps-history,https://oml.learnco.io/m/prog.var.variable-keeps-history,1ee84937-cc32-4577-ae23-3d6e015807c3,0.1.0,draft,A variable remembers every value it has held,"A variable stores every value ever assigned to it, so an earlier value can still be read out later.",misapplied-analogy,prog.variables,secondary;undergraduate,"x = 3
x = 5
print(x)",5,3 5 (or 8),2,3,"du Boulay, B. (1986). Some difficulties of learning to program. Journal of Educational Computing Research, 2(1), 57-73.",,CC-BY-4.0
